Sub-account settings report
All time
Account Status,Account name,Customer ID,Direct manager name,Direct manager customer ID,Account type,Conversion Account Currency Code,Conversion Account Descriptive Name,Conversion Account Customer ID,Audience Manager Account Descriptive Name,Audience Manager Account Customer ID,Data protection contacts,Time account linked,Ad suggestions,2-Step Verification,Link Authorizer,Link Sender,Allowed domains,Continuously sharing audiences,Applied placement exclusion lists,Account labels,Owner
Active,Huge Digital Clock,646-269-4309,KalaGato Singapore,906-450-2435,Google Ads, --,Client, --,Client, --,None,"Jun 10, 2025",On,2-Step Verification,contactus@kalagato.co,contactus@kalagato.co,"[kalagato.co, zipoapps.com]", --, --, --,[1268668503|2346571672|KalaGato]
Active,KidsFocus,495-238-6339,KalaGato Singapore,906-450-2435,Google Ads, --,Client, --,Client, --,None,"Feb 1, 2026",On,2-Step Verification,contactus@kalagato.co,contactus@kalagato.co,"[kalagato.co, modemobile.com, cradaptive.com, gmail.com]", --, --, --,[6918487173|9064502435|KalaGato Singapore]
Active,Voice Changer iOS,328-660-5864,KalaGato Singapore,906-450-2435,Google Ads, --,Client, --,Client, --,None,"Dec 16, 2025",On,2-Step Verification,contactus@kalagato.co,contactus@kalagato.co,"[kalagato.co, modemobile.com]", --, --, --,[6918487173|9064502435|KalaGato Singapore]
Active,Clone Armies,116-315-1345,KalaGato Singapore,906-450-2435,Google Ads, --,Client, --,Client, --,None,"Jul 15, 2025",On,2-Step Verification,aman@kalagato.co,abhishek.dhobe@kalagato.co,"[kalagato.co, publex.games, meedlight.com, mobilegamedoctor.com, gmail.com, slab.rocks, studiomosaicapps.com, appvertiser.io, doublecoconut.com]", --, --, --,[1268668503|2346571672|KalaGato]
Active,EMI Calculator,499-163-9790,KalaGato Singapore,906-450-2435,Google Ads, --,Client, --,Client, --,None,"Jun 3, 2025",On,2-Step Verification,contactus@kalagato.co,contactus@kalagato.co,"[kalagato.co, modemobile.com, jedyapps.com]", --, --, --,[6918487173|9064502435|KalaGato Singapore]
Active,Verba - Translation App,368-067-8291,KalaGato Singapore,906-450-2435,Google Ads, --,Client, --,Client, --,None,"Jan 22, 2026",On,2-Step Verification,contactus@kalagato.co,contactus@kalagato.co,"[kalagato.co, modemobile.com]", --, --, --,[6918487173|9064502435|KalaGato Singapore]
Active,Clocksy - HDC,912-225-7133,KalaGato Singapore,906-450-2435,Google Ads, --,None, --,Client, --,None,"Jul 13, 2025",On,2-Step Verification,contactus@kalagato.co,contactus@kalagato.co,"[kalagato.co, modemobile.com]", --, --, --,[6918487173|9064502435|KalaGato Singapore]
Active,AI Girlfriend,711-088-8095,KalaGato Singapore,906-450-2435,Google Ads, --,Client, --,Client, --,None,"May 6, 2026",On,Standard,contactus@kalagato.co,contactus@kalagato.co,"[kalagato.co, modemobile.com, jedyapps.com, wordbox.ai, cradaptive.com, gmail.com]", --, --, --,[6918487173|9064502435|KalaGato Singapore]
Active,TranslateUp,130-521-4115,KalaGato Singapore,906-450-2435,Google Ads, --,Client, --,Client, --,None,"Jun 2, 2025",On,2-Step Verification,contactus@kalagato.co,contactus@kalagato.co,[kalagato.co], --, --, --,[6918487173|9064502435|KalaGato Singapore]
Active,Voice Changer TMV,540-249-0380,KalaGato Singapore,906-450-2435,Google Ads, --,Client, --,Client, --,None,"Apr 14, 2025",On,2-Step Verification,thaitopapp@gmail.com,abhishek.dhobe@kalagato.co,"[gmail.com, kalagato.co, kalagato.org, modemobile.com]", --, --, --,[]
Active,Hammer App Android SG,902-298-4064,KalaGato Singapore,906-450-2435,Google Ads, --,Client, --,Client, --,None,"Aug 14, 2025",On,2-Step Verification,contactus@kalagato.co,contactus@kalagato.co,"[kalagato.co, modemobile.com]", --, --, --,[6918487173|9064502435|KalaGato Singapore]
